Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",335.160041,-70.189958,0.000000,bottom
"C2","1u","C_0402_1005Metric",336.910000,-50.410000,0.000000,bottom
"C3","1u","C_0402_1005Metric",332.910328,-71.397341,0.000000,bottom
"C4","4.7u","C_0402_1005Metric",338.720000,-56.230000,180.000000,bottom
"C5","100n","C_0402_1005Metric",340.537901,-66.297901,90.000000,bottom
"C6","100n","C_0402_1005Metric",332.910000,-70.218484,0.000000,bottom
"C7","100n","C_0402_1005Metric",338.720002,-57.304800,180.000000,bottom
"C8","100n","C_0402_1005Metric",327.980002,-60.270001,180.000000,bottom
"C9","10n","C_0402_1005Metric",327.950884,-59.166912,180.000000,bottom
"C10","1u","C_0402_1005Metric",338.747705,-55.081732,180.000000,bottom
"D1","D","D_SOD-123",49.468914,-37.618750,90.000000,bottom
"D2","D","D_SOD-123",68.518914,-37.618750,90.000000,bottom
"D3","D","D_SOD-123",97.093914,-37.618750,90.000000,bottom
"D4","D","D_SOD-123",120.906414,-37.618750,90.000000,bottom
"D5","D","D_SOD-123",139.956414,-37.618750,90.000000,bottom
"D6","D","D_SOD-123",159.006414,-37.618750,90.000000,bottom
"D7","D","D_SOD-123",178.056414,-37.618750,90.000000,bottom
"D8","D","D_SOD-123",197.106414,-37.618750,90.000000,bottom
"D9","D","D_SOD-123",216.156414,-37.618750,90.000000,bottom
"D10","D","D_SOD-123",235.206414,-37.618750,90.000000,bottom
"D11","D","D_SOD-123",254.256414,-37.618750,90.000000,bottom
"D12","D","D_SOD-123",273.306414,-37.618750,90.000000,bottom
"D13","D","D_SOD-123",292.356414,-37.618750,90.000000,bottom
"D14","D","D_SOD-123",307.378914,-41.533750,90.000000,bottom
"D15","D","D_SOD-123",328.016414,-41.533750,90.000000,bottom
"D16","D","D_SOD-123",354.268914,-37.618750,90.000000,bottom
"D17","D","D_SOD-123",373.318914,-37.618750,90.000000,bottom
"D18","D","D_SOD-123",388.143750,-37.306250,90.000000,bottom
"D19","D","D_SOD-123",48.616414,-49.575000,-90.000000,bottom
"D20","D","D_SOD-123",67.666414,-49.575000,-90.000000,bottom
"D21","D","D_SOD-123",98.622664,-49.575000,-90.000000,bottom
"D22","D","D_SOD-123",124.816414,-49.575000,-90.000000,bottom
"D23","D","D_SOD-123",143.866414,-49.575000,-90.000000,bottom
"D24","D","D_SOD-123",162.916414,-49.575000,-90.000000,bottom
"D25","D","D_SOD-123",181.966414,-49.575000,-90.000000,bottom
"D26","D","D_SOD-123",201.016414,-49.575000,-90.000000,bottom
"D27","D","D_SOD-123",220.066414,-49.575000,-90.000000,bottom
"D28","D","D_SOD-123",239.116414,-49.575000,-90.000000,bottom
"D29","D","D_SOD-123",258.166414,-49.575000,-90.000000,bottom
"D30","D","D_SOD-123",277.216414,-49.575000,-90.000000,bottom
"D31","D","D_SOD-123",296.266414,-49.575000,-90.000000,bottom
"D32","D","D_SOD-123",322.460164,-49.575000,-90.000000,bottom
"D33","D","D_SOD-123",353.416414,-49.575000,-90.000000,bottom
"D34","D","D_SOD-123",372.466414,-49.575000,-90.000000,bottom
"D35","D","D_SOD-123",383.381250,-49.575000,-90.000000,bottom
