Comment,Designator,Footprint,LCSC
D,D4,D_SOD-123,
D,D20,D_SOD-123,
D,D49,D_SOD-123,
D,D67,D_SOD-123,
D,D39,D_SOD-123,
D,D33,D_SOD-123,
D,D58,D_SOD-123,
D,D48,D_SOD-123,
D,D38,D_SOD-123,
D,D26,D_SOD-123,
D,D60,D_SOD-123,
D,D45,D_SOD-123,
D,D46,D_SOD-123,
4.7u,C4,C_0402_1005Metric,
D,D52,D_SOD-123,
D,D53,D_SOD-123,
BOOT,SW2,SW_SPST_TL3342,
XC6206PxxxMR,U2,SOT-23-3,
D,D11,D_SOD-123,
10n,C9,C_0402_1005Metric,
D,D1,D_SOD-123,
D,D32,D_SOD-123,
D,D13,D_SOD-123,
D,D34,D_SOD-123,
D,D42,D_SOD-123,
RST,SW1,SW_SPST_TL3342,
D,D56,D_SOD-123,
D,D22,D_SOD-123,
D,D68,D_SOD-123,
D,D59,D_SOD-123,
D,D9,D_SOD-123,
D,D24,D_SOD-123,
D,D3,D_SOD-123,
D,D16,D_SOD-123,
D,D17,D_SOD-123,
D,D10,D_SOD-123,
D,D40,D_SOD-123,
D,D41,D_SOD-123,
D,D8,D_SOD-123,
D,D6,D_SOD-123,
STM32F072CBTx,U1,LQFP-48_7x7mm_P0.5mm,
100n,C1,C_0402_1005Metric,
D,D2,D_SOD-123,
100n,C8,C_0402_1005Metric,
D,D21,D_SOD-123,
D,D29,D_SOD-123,
D,D14,D_SOD-123,
D,D36,D_SOD-123,
100n,C7,C_0402_1005Metric,
D,D23,D_SOD-123,
D,D66,D_SOD-123,
D,D27,D_SOD-123,
100n,C6,C_0402_1005Metric,
D,D63,D_SOD-123,
D,D69,D_SOD-123,
D,D31,D_SOD-123,
1u,C2,C_0402_1005Metric,
D,D51,D_SOD-123,
JST SH 4p,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
D,D5,D_SOD-123,
D,D35,D_SOD-123,
D,D54,D_SOD-123,
D,D19,D_SOD-123,
D,D43,D_SOD-123,
D,D12,D_SOD-123,
D,D15,D_SOD-123,
D,D61,D_SOD-123,
1u,C3,C_0402_1005Metric,
D,D28,D_SOD-123,
D,D55,D_SOD-123,
100n,C5,C_0402_1005Metric,
10k,R1,R_0603_1608Metric,
D,D37,D_SOD-123,
D,D30,D_SOD-123,
D,D18,D_SOD-123,
D,D44,D_SOD-123,
D,D25,D_SOD-123,
D,D57,D_SOD-123,
1u,C10,C_0402_1005Metric,
D,D64,D_SOD-123,
D,D62,D_SOD-123,
D,D7,D_SOD-123,
D,D47,D_SOD-123,
D,D65,D_SOD-123,
